text,profanity
@ whitesidemzu : : mom make sandwhich ! ! ! * doesnt hear * * whispers * `` deaf bitch '' mom : fuck did just sa,1
n't buy pussy cuz 's free bitch buy lacs !,1
@ abc time . amend 14th amendment written protect newly freed ex slaves . lived purpose . time end anchor baby loophole,0
gold white yellow .,0
@ halfbakd_kitten ill finger ur tight pussy slowly 'll moaning bby,1
"@ forgivemehera , ' touch ' ned/chuck mix .",0
@ buckm00se post bid tell nig use jab,1
@ woridstarhlphop : time bobby bitch comes,1
"@ 1trikofficial : @ itsnotadam prob ! def good early set energy tool ! want tune , ho",0
@ andreaa_olvera shut fuck hoe ass bitch fuck squirtin ass cunt hoe,1
omg bitch buy dildo stfu,1
"@ jawshoeeahhh @ keepitplur bitch beat losing twice lol won 11 , just hater",1
@ hand_tex @ drapermark37 humans evil man . cutting tusks beautiful animals chinks think hard .,1
@ plurizard : n't burn bridges .. tf look like holding grudge lil bitch . shit happens . 'll fine .,1
@ smokee_smb damn just got called hoe,1
@ worst_b_ehavior : n't bf head 're lame bitch 's probably cheating bitch suck shit dr,1
hell yeah bitch gon ' ham,1
@ mgeminiquotes : # gemini gets irritated jealous bitches .,1
"@ liveitupjersey bwahaaaa just choked oreo cookie ! 'm figuring , !",0
beat pussy shit hurting week ago,1
poor soul @ vicd713ent : cuz fat bitches thing like,1
"# porn , # android , # iphone , # ipad , # sex , # xxx , | # closeup | squirting pussy fingered asshole",1
@ alex_alfarkh : 'm pussy,1
1 baby momma bitch wife like pac u need thug ya life,1
@ tylerreactions : retweets bitch hate timeline,1
beauty needing wanting man priceless . idk bitches strung fuck men joint custody,1
"night tripping brownies running shoes pjs , 2am !",0
ai n't got ta dyke like hoes,1
ku kluxer,1
sex bitch want neck bitch,1
"sure # teabaggers care nelson mandela , 's 'them ' know mean . # teaparty # tcot",0
@ stonyxx : conversation .. think u giving em pussy ahhhhh tried .,1
moving bitch weekend,1
dis bitch blowin man fuck u,1
"got ya crackas , spics , chinks , carpet riders niggas mlk ai n't fight # gimmeablackemoji",1
bitches think 're slick matter hard try hide tell 're hoes,1
thanks text ... hoe ..,1
pussy licking,1
ugh 'm little bitch,1
dogs man remember ok girl text phone bs squads ready deep thenna bitch ready,1
n't suck dick eat pussy 2014 ?,1
@ bitesblog : pat martin gon na yankees thing james beard house tonight,0
@ selenaelisandra : bitch says `` hi '' bae,1
@ moniierozay shit sorry hoe,1
ca n't yo bitch ca n't yo bitch ...,1
@ timraw : crazy . got know . bitch . felt betrayed judgment .,1
@ dril : [ ( launches sack ; s burning medical waste someones house having bird feeder porch ) ] fucking bird,1
", bitch .",1
@ calvin2000 : really ? 's concerning right ? mt @ katiecouric : looking forwd speaking john kerry tomorrow abo,0
@ steveworks4you .. knob gobble day ? youre head . blockhead .,1
got ta block bitch damn annoying,1
@ maxwell_larsen cunt,1
feel like niggah pac bitches set .,1
basterd,1
"@ craziestsex : sex 1st date dont mean hoe , waiting 90 days wont make wife , cute pics dont mean y'all happy , having title",1
love hoes like omg warped tour yayyyyy # gaaaaaaaaaaaay,1
"@ chadruhlig : `` suicide girl hopeful '' getting job hopeful , going school hopeful silly bitches !",1
just : n't trust hoes,1
slept good thenna bitch tho,1
"@ victoriadahl : @ donnajherren : , 's `` crazy bitch '' , 's `` look motherfucker 's corpse , wo n't",1
@ schulzgrayson @ dswizzle3 talkinfgalot shit dem words tho bitch ass nigga u talking fighting,1
mom clueless 's going lol like `` ca n't trust negros witcha money '' lmfao whaaaat ?,1
@ nikedownluis15 : @ vintage_monroe_ damn browniesi swear lmao,1
@ mathanugg mean colored crayons n't copacetic ?,0
"@ yourdudeferg @ sammylightning_ wish wood , like tree bitch .",1
swear care bitches .,1
conjuring n't trash . just n't good insidious .,0
leave yo bitch ima stoned,1
feeeeeling tuna feelliiiing cunt,1
2 faced bitch,1
got ta bitch suck dick till nut spit gut slurp shit ai n't slut,1
@ mr_jsmart24 : twitter fye niggas used trending topicsnow just recycled tweets hoes screaming want loy,1
@ honey_gotbunns bitch know wo n't,1
far today time try load article blaze twitter site crashes . wtf selibus doing cunt,1
"@ agrovelax26 : n't care bitches say , kesha awesome",1
@ jakelewis44_ : 'm bitch,1
"hey . aside . graduation cap . like fuck , bitch , detroit .",1
@ kieffer_jason bitch fuck tl u mean,1
@ jayyrosayy ai n't got hoes lil jess 're lil guy,1
bitch main bitch bc main hoe ai n't feeling mo . mo .,1
"@ grownassmidget : im bitch ? youre bitch . moms bitch having bitch , dads bitch fucking bitch . whos t",1
@ americanwhitehm hate nigger .,1
50 dollar card make young nicca hard .. throw cell phone left yard !,1
people saying n't let guys treat like yellow starburst ? 's favorite .,0
ayo ! ! @ theofficialeg10 unblock ca tell garbage yo bitch ass playing ....,1
@ djceeloss handles lol shit 315 hp bitch stick soo know good double shifting aha,1
molly make bitches crazy,1
"@ hozay__ bitch shut hand flowers selling , light change .",1
rains 's good `` mall weather '' coons home,1
weazy bitch birdman jr,1
mother fuck,1
@ billyeichner @ tomcruise hoser ... hi .,0
@ tgr0z 's nasty lil bitch,1
know bitches mad like `` 'm # wcw,1
@ tkos_way : cumming pussy love,1
kinda @ peachpapayya : u mad friend ? ? @ vianawf : fat fucking funky nasty ass hoes,1
@ artbylecardin @ deeiiggee @ amy0813amy note 'm dis bitch,1
@ herfarm country teabaggers !,1
love place bring car ..... n't know spanish men love ... look like guala lol,0
7 years later bitch didnt learn lesson . lol remember major nude leak generation,1
deans crying needs pee peter keeps saying nigger,1
@ usgeminis : # gemini does n't really look ex 's . things just look better trash ! !,1
.4 ? jesus @ _richhomiejuan_ : @ ayylmaoanod bitch .4 mc donald 's . fuck spot,1
think funny hoes talk bout faithful .,1
@ kontra402 : lmao damn bitch trash @ jazminejanay_ : lmao,1
@ iixixiii bruhhh 'm joking ... n't pop trunk 'm just bitch ass niiiieeegggaaa,1
cuntlick,1
ca n't tell mexico impressive brazil just trash today,0
"@ kendavidoff : # cardinals # mlb 's gold standard , n't close silver . # dodgers # giants # tigers # yankees",0
@ flvshy5 : plaq hcbitch gone,1
"whipped cream , # endlesslove",0
# remake # granny dcyoungfly dirtymoney24 # teamignat # hoodcomedy damn bitch bab ! ! ! ! 's big ...,1
hate random tear comes n't blinked like nigga stop bitch,1
`` 'll slit throat-neck '',0
@ joedouglas1 sit stfu raghead @ darknight420 @ hajihuntingpat,1
", spent half junior year senior year bitching dumb bitches . sooo 's .",1
jumbotron ? thats jig,0
@ tayjrobin @ almondmlk follow 'll practically swimming pussy,1
@ woridstarrrr : 5th grade hoes ai n't loyal,1
@ jerseyzbest74 aye hoe,1
! ! ! @ freebandversace @ miller_hi_life 'm finna look tht hoe ... shiiiid ... know sumptin bout ( cont ),1
@ ctrembz sure follow fabulous bitch face,1
tell bae `` ho tre testicoli '' means `` love eyes '' italian,1
kid @ bobbyhorai straight watched bitch eat bloody tampon # fucksamattawithyou,1
dey selling liquor drinks dis bitch ! !,1
@ weloveki : hol bitch,1
@ shawnharvey0 'm finna leg dne hands catch hoe,1
day niggas gone learn fuck ugly bitch . pregnancies need stopped,1
@ 3amado_carrillo : just checked watch n bitch said,1
`` @ jboii2 : ima giving pussy ass niggas ah reason hate ! '',1
"fuck lux knowledge mooks presence , delivery connecting people . crazy .",1
@ thatfalcongirl love hoe ! ! hahahhaa # uglyass,1
"@ theeaglefazi : 83 % children balochistan school , followed 80 % sindh , 75 % kp 60 % punjab . #",0
twitter fags .,1
yankees n't rely long ball playoffs # yankees # mlb,0
wish ya nighas stressed ya kids like ya stress lame bitches .,1
@ fitsnews nevermind . little bitch .,1
fuck waste time 'll fuck bitch hate friend love,1
@ kinghov1313 : fox8 got dem bitches huh !,1
oh . wow . avoiding bitch .,1
@ huntermoore happy cuz woke white nigger !,1
@ egotheicon `` trash '' snd stars scrape ur team snd pro teams .,0
pusslicker,1
yall chojis kid ? big ass black bitch,1
@ vinyldanyl @ bleedinglsd hes lyin ass bitch lmao,1
fuck ms. patrick bitch ca n't teach shit,1
`` @ juicyyyjayyyy : bitch sunday ``,1
retarded,1
"# porn , # android , # iphone , # ipad , # sex , # xxx , | # smalltits | small tits ghetto whore fucking stepdad",1
time bitch makes status guys texts like whatttt loll,1
ai n't got time hoe tell hop whip shut cadillac doe,1
@ klena57 facebook status defending dropped bomb knowledge bitch unfriended,1
watching forrest gump taught bitches wan na hoes 're tired,1
@ 1armaun : hoes boyfriend swear hoe anymore . bitch having boyfriend does n't erase happened ...,1
@ sourpinkk : having hoes excites ; growing lil mf ! ! !,1
@ robbiegallinis hey bitch boy # nigorprobz,1
"@ angiecuh : man , `` shittin '' hoes 're cute make ?",1
single like dollar fucking bitches like im slater .. aww mane !,1
bitches crazy,1
tell certain specific people posting group/corporate fb/twitter page consistent retarded hashtags # makeshitup,1
`` @ gizzy_jones94 : kiss u eyes open watch bitch ! `` lmfao,1
best asian massage brooklyn park slope -- rated spa 718-622-0221 - 24,0
nothin pass hoes cause hoes straight ratchet,1
@ tednugent werent gung ho got drafted instead shitting ? like repcon chicken hawk ..,1
@ poak_ idea people 's actually personalities like maybe pamaj cunt hahaha,1
ga charlie @ charlie4927 @ sholzbee @ doristafoya1 @ cat_lmbo @ jagauress @ walter_lars @ lynnemrnp @ amymek @ justin_awe,0
@ equallydestruct lmao n't fight n't know ghetto ass school dude highly doubt n't fuck,1
@ officiallyice : u faggot u pull outta pussy bust bro .,1
"n't want yo bitch mane , just wan na fun .",1
@ real_kaysavage : @ 1stblocjeremiah bitch,1
"im allowed trip bitch , trip tho",1
let hoes started,1
bitches love sosa guess 'll wear sammy sosa,1
niggas actin like hoes em bitches,1
dumb bitch,1
dear inconsiderate ghetto fuck train : ya know phone options speaker phone right ? ! ?,1
"' hoes finna like `` owieee trey , august , chris brown baby time `` lmfaooooooo hoes ai n't loyal .",1
' got niggahs salty meeeee cause yo dream bitch ma main slide,1
@ icy_rapture like look bitches,1
"trust player , fear bitch .",1
leftist/homosexual war # catholic church kicked high gear infiltration priesthood boy-raping fags ...,1
@ princessfaggit n't tears bitch,1
@ detroitplayer @ prettytreazure got ta atleast 5'10 bitch lol,1
@ kieffer_jason sorry n't know tell pussy ass twitter,1
@ stevemaxboxing 's little egotistical bitch deserves head huge gets ko 'd wind blows,1
nicca want coney island lous deli tho ! # detroitniccainatlantaproblems,1
@ vickybeanmr : girls `` talk hoes '' game strong,1
hillbilly bone-bo-bone-bo-bone bone,0
"digging hole satisfying , 's climbing 's bitch .",1
@ iank12 : half tempted outside run phone car 's piece shit . # fuckiphones pussy,1
@ denytheprophecy : @ noneshallpass97 bitch dick yo dinner,1
look like ac green ... bitch n't anymore ...,1
oh god bitch walked past legit smelled like fish market ! ! tfeh tfeh tfeh,1
"@ onlyrosee : way tricksnipers act just ugh . 89 % chief keef , soulja boy niggers . absolute sewage waste",1
mean married . long sign prenuptial agreement . 's 2014 bitch .,1
@ tomolson8 : @ 1dittlinger redneck written lol . drunks use gravity,1
@ whatupag 've used word cunt 3 times . beautiful .,1
lmaoooooo eat goal faggot @ gezus__,1
hate females try sound like bird heads,0
@ ezadick n't fail bitch,1
yeah nfl trash fuck london shit,1
bitch come mouth speak shit idea 's talking .,1
phaedra gon na drop apollo like mariah did da brat went prison . hoes ai n't loyal,1
@ medaoriginbitch : friend greet insult . @ morbidmermaid @ evanbecker513 niggers,1
"@ janesports : nfl reportedly asks bird-flipping m.i.a . $ 15m , let 's revisit @ sarahspain 's column ridiculousness : http : //",0
@ sassymermaidxo : @ vsamone : @ zvckslvt3r704 : sister shittin hos `` @ vsamone : wodeh bout dat action,1
`` twitter hacked '' = 'm pussy admit said want act like said .,1
head butted bitch club . lmao tried play . bitch know head hurts !,1
@ hg_shit : cause bitch 'm tae ! ! # kinglute,1
@ justinbieber : new 1d song diana written boyzzzzzz bow bitch,1
@ caseytu88662466 : y niggas hoe shit,1
just fell love . just saw baddest bitch driving 2014 e350 amg coupe,1
fucking faggot,1
@ willgoes_ham : love bad bitches 's fuckin problem,1
@ boner4tuna @ tcc_grouchy @ mrs__met @ vortmax29 @ llmajer @ dmb1031 @ aplmom @ frogtox @ kishkaandpipiks 've shots yellow smoke,0
wonder ppl niggas thugs able convince hoes false ideas men like intellectual dress,1
c00nies,1
lol random `` fist fight '' aka pussy shove match dnd tonight .,1
"@ ms_sadaclay : love salad rt @ vianawf : fuck hoes , eat salad .",1
"@ isminihoran : im running like bitch michael clifford , role model inspiration",1
@ pipethefckdown_ : people focus skin tones dating fucking retarded brainwashed .,1
"bitch , don ? t hide . just don ? t like people looking phone ..",1
ricky bitch comes girls,1
"@ yankees : alfredo aceves relieve @ cc_sabathia 4th . # yankees needs away , gas !",0
@ just_priss understand stop venting bitch insight life people n't deserve,1
dawg ass hoes,1
"@ tywahlbrink : @ victoriakuhlman day turkey , nip belly , 'll ready stuffing , wet",0
`` need trippy bitch fuck hennessy ``,1
make artists = cover selling pussy second gig bartenders students,1
just caught bitch cheatin work shes dude tryin ? fuck slittin throat cut bitch 's head,1
"@ militarytimes 's happens pussies presidents generals , fight war .",1
"boldest hoes , come girl nd start touchin nigguh",1
"bro everybody ho , fuck , favorite color mango red ho , charge phone way 100 % = ho , smh",1
called bitch . said changing ? changing ? n't think . fuck . # pissed,1
@ yungtweetgod : bitches pussy community wont nigga piece gum,1
. mad ... live world whitey jail word folks wear right hats tshirts . wore shirt ...,0
early bird gets worm !,0
@ bryannaaaaaa_ : 'll naturally slap shit outa oomf bitch talk .,1
hate dat hoe,1
swear heard bitch creak,1
@ johncoleglover big cat `` fat pussy '' joke ?,1
'm like rashad did like ghetto truth new-new,1
@ anthonycumia totally correct anthony . livin round dem colored folk . day bringin da hood dem propery value,1
@ get__em__craig naw hoe let got keisha,1
nigga straight gentleman speaks bitch comes funky ass attitude gentleman shit goes window .,1
'm `` @ vandalsavage_ : slipping mollies jell-o @ 80sbaby4life : cosby fucking bitches pudding pops lmao '',1
uncalled @ nobeeetch : trash `` @ trelaire1st : 16 . best ?,0
@ itsdorry : school doesnt test intelligence tests ur memory ... .... tests ability calm slap bitch,1
@ tiara_rachelle 'm gone baby monkey lil ass funky ass,1
# westvirginia white trash .,1
movie # abouttime hard ass chick flick . nigga goes time quick n fucks bitch n lol,1
@ odlew11 : clothes dryer ? 'm tryna dry clothesthrow hoes,1
"'ve problem w| anybody , 've w| company year , snitch fucking bitch trying fired",1
@ oskzilla fuck niggah gay . lol,1
# redneck tow truck . # johndeere # 4455 # america,0
bird got headache,0
@ sassisissy : assholes mother shoved coat hanger pussy gouged death harmless fetus http :,1
@ jaxx_staxx : @ baranosky_ : 1 day 39 days pot # lentyour faggot,1
's sad sad day bitch loses sponsor,1
bitch goddess thinks owns new york ? ? ? ? ? ......... wait ...... @ midnight # lameapocalypses,1
@ codizzlleee : @ satisfied_x @ stfu_nobodycare know victoria 's secret . yea cocoa puff bird fucking,1
westside 'm screamin fuck kd bitch ! ! ! !,1
spics,1
@ dirtyeaffiliate : u ca n't turn hoe housewife hashtag tupac,1
darkfuck,1
"n't calling faggot , lol .",1
"@ dontesydnor : kanye said `` mayonnaise colored benz , push miracle whips ''",0
nigga showed sad ass dog girl pit look hoe say nigga gone,1
c * nty,1
`` @ poemsporn : quote tweet favorite animal . `` pussy,1
@ _imtrillasfuk : snap chat names ? bitch snapchatt,1
@ tooracist : type eye make-up redneck women use ? nascara .,1
probably feel bad n't bitch ...,1
"ofcourse asks eat , jackass goes `` brownies '' big surprise ... # dingbat",1
aye jalen borrow 50 dollars ? ? aint like yu aint got jobs ? ? borrow pussy ? aint like yu gone head !,1
friends bc wants guilty association # hoe,1
@ d_41395 cuz gunna smoke u today . u bitch tho,1
y'all hoes tbh,1
nah definitely got ta bitch drive whip 'm drunk ty dolla $ ign tape b 's right,1
shitfreak,1
nice .. realized people need toughen stop emotional bitches,1
cock licker,1
night bitch talking bout wan na smoke wingstop . 1st person thought .. paying ?,1
@ thecoreyholcomb : 's got damn shame bitches wit raw ass dick sucking skills wifey material .,1
niggas stand cuz bitches feelin nigga . mad yo called `` girl '',1
"@ maxabrahms : americans claim # isis just `` local threat , '' reply : mean just iraq , syria , turkey , jordan , saudi arabia , leb",0
'm asking boy questions like bitch,1
"@ buckm00se : @ wildblood817 seen look like , impressed.dont talk shit dirt looking bitch",1
@ pactha_mac imma shoot bitch,1
@ sactownproidgy @ speakcomedy @ yunglucy_ @ karon_avila just noticed guys called jiggaboo,0
thirst dog lies thirsty bitch .,1
@ danicim choke bread bitch,1
horrible perspective time . think retarded smh,1
@ lady_trucker : fez : nipples n't covered trash lids . @ ronniebquotes,1
u oldhead rocking bruce lee durag park randomly giving group street niggas ghetto karate class,1
"n't care old , bag takis 'll eat bitch",1
`` 're toes ai n't pussy stinks ``,1
@ woodpusha_ : bitch tried dick hickey,1
@ swizzzy : bitches peep getting cheated adding,1
"girlfriend , got ta accept fact hoes gone face . boyfriend , better let hoes know wassup .",1
n't . 'm pussy troll . room `` truth '' `` opinions tl '' ? ? ? ? ? social media fucked .,1
'm busy 'm tell hoes played .... 'm busy,1
bitch everrrrrrr,1
winking emoji ? 'm fuck right pussy,1
turned birds,0
@ leticiamvrie : duh bitch,1
shiesterfuck,1
"@ jojo_51213 : tweeted ? ca n't concentrate read sad-looking boob pussy pics . -men , prob",1
french word potato translates `` earth apple . '' banana `` long yellow tree apple . '' submarines `` big wet hollow kaboom apple . '',0
@ macmiller : liam gallagher came perform tonight . said mental cunt . 's fucking amazing .,1
@ darknight420 's showing fairy blocked @ hajihuntingpat @ paulsmitheringa @ joedouglas1 @ jewjitsugrl @ blackorchidm16 @ taxman206,0
muthafukka,1
@ naturalbadassss : phat pussy best pussy,1
spic cop # losangeles raped thought raping white woman . 's half-breeds jobs pigs .,1
bitches trying squash beef wen pregnant ! hoes dont fuck !,1
@ marco_sharkhoes hoe 'm work til like 8,1
@ ih8tvvitterhoes : racist bitch world ..,1
watch stop talking bitch tweets,1
@ privaledge : undercover hoes,1
nigguh stay doin,1
y u bitch doe ?,1
"@ shanniganssss14 @ emagsy21 save best material wmhs games , ya know .. jus rain hell bitches way today",1
"@ iamscottybravo : hate old bitches wear clothes young hoes wearing , like stay yo ass yo age group",1
fudgefucker,1
@ callmerenee_ : @ 1inkkofrosess : @ callmerenee_ wussup bitchcooling hoe,1
know getting money low key .. hanging street niccas fukn wit og 's,1
tweet pussy got superpowers,1
life fuckin short free bird,1
oomf make skin itch . like ew bitch .,1
@ jayy_gee96 : dumb bitches,1
callin da race card . ai n't colored podcasts dare,0
@ scottyplagues @ dancingxburrito @ reganleahhh come davis celebrate retard,1
"@ kash_stackz : : nudes safe . : * sends nudes * : * calls homie * aye , hoe send trash ass nude , yu",1
facebook fags,1
"twitter game point tonight btw guys , n't caught 're retard .",1
celebrity niggas passing kardashian hoes monthly,1
@ antglizzygg : ai n't talk 2 mova n week thing say shy benny,0
bruh 'm ready wheeler bitch fast asf,1
"@ oxy_jon @ conleyfanclub charlotte store , course faggots",1
# somethingigetalot ... asian ? black ? hawaiian ? gay ? retarded ? drunk ?,1
@ frankiejgrande fugly queer white trash,1
"@ shakiraevanss : criticize amanda saying n word , sure , n't make jokes sexual assault , n't trash .",0
"pillow talkin bitches , bad nigga basic !",1
"born black ; tons kids , work , lots free stuff bitch ! thank god wasn't~what drag 'd b",1
dogshits,1
"wow cuzin dont like lil snupe , niggah trippin",1
"@ _cblaze @ barbod6fcb @ oddbeast man bitch gon na damn thang , u n't like got say unfollow",1
"twice divorced teabagger florida attorney general says marriage reserved 'stable , enduring family units ' # wtf",1
